Year,01,02,03,04,05,06,07,08,09,10,11,12
2000,9.671428571428573,10.875,12.285714285714285,14.542857142857144,17.03333333333333,18.442857142857143,18.925,19.7,19.75714285714286,15.475,10.382717569786534,10.277380952380952
2001,8.574185823754789,9.499616858237546,13.205467372134038,11.74063492063492,19.024514991181658,19.5710758377425,18.888505747126437,19.71374201787995,18.551806239737274,17.66071428571428,13.08312534209086,9.483630104463439
2002,8.319551282051284,11.210097001763666,11.319597069597068,13.483087027914612,15.074486863711002,18.55218390804598,19.903663003663002,19.815873015873017,19.869506172839504,16.21836589336589,13.573219373219368,10.080339506172841
2003,11.927458492975736,10.454603174603175,12.727586206896552,11.265942954448702,15.831851851851853,18.793860903649556,21.08809523809524,20.453888888888894,20.55920698924731,18.30587301587302,10.790032428742107,9.587738095238096
2004,9.11178494623656,9.971888689765033,15.376249330531868,14.991570660522273,16.31854838709678,18.32874622596536,19.828499258435297,20.492196620583716,20.383606950844857,15.54307254974663,11.5625,9.890599343185551
2005,8.732692307692309,11.509391534391535,13.202469135802472,12.981410934744268,15.909557945041817,17.314307760141094,21.05944170771757,20.163508064516126,17.814136904761906,16.124880952380952,13.327724867724868,10.508379120879122
2006,9.790000000000001,11.028114866018093,9.003566867359972,12.639614121510675,16.43955784204672,19.543321282906934,22.024851190476188,19.088620689655176,18.775143678160923,15.832226479352917,12.22644894483975,9.246252204585538
2007,8.246613300492612,10.184259259259258,13.561328224776501,13.572663139329807,16.07867283950617,18.370593869731803,19.92544608648057,20.202980599647265,18.379331162664496,15.14700404427416,13.065328042328042,8.189194139194138
2008,8.081571428571428,9.988509021842354,11.47638888888889,12.7603088336784,15.9885,18.908635265700482,19.962666666666664,20.706340579710147,19.749587912087915,17.406888888888886,13.659803271441204,7.919333333333334
2009,10.596238095238094,9.824691358024692,11.364985100042574,13.387698412698413,16.658714285714286,17.715500000000002,19.467028985507252,20.24860805860806,20.704507936507934,15.897985347985347,12.082499999999998,8.317952380952383
2010,9.542923094904163,10.86458333333333,11.389777777777779,11.710305530995186,13.748506571087217,18.174034249303066,18.661354326676904,18.601052119442922,19.888712522045857,16.494642857142853,11.772873015873017,10.047239475500346
2011,22.77701863354037,22.34891975308642,24.626388888888886,26.73214285714286,28.402670940170935,32.18965517241379,35.20136860670194,34.89418719211823,36.44886128364389,32.262810344827585,24.411846337652793,22.338229033631332
2012,22.97758088548319,24.13804713804714,24.09969135802469,27.9147762345679,31.240612076095946,33.76460727969349,35.330666666666666,36.06657509157509,33.983758714403876,32.23310931899642,27.20266666666667,22.024652777777778
2013,21.15225749559083,23.301615747852306,26.528730158730156,30.22376984126984,31.99310599078341,34.92574404761904,35.74194775132275,35.64189708141321,34.95059295748951,30.728832938028336,27.26417050691244,22.00166666666667
2014,25.8306300553427,25.0327380952381,28.14111054218581,29.41065028161803,32.982907620263944,34.781333333333336,37.17288888888889,36.44697420634921,35.893750000000004,34.466348068498604,28.233730158730157,25.394274159216693
2015,25.08595679012346,27.979059829059832,29.729929339477724,28.801707717569787,29.41605090311987,35.49668803418803,37.03638888888889,37.7139367816092,37.410924731182796,35.029488095238094,25.031213517665126,21.742484526967285
2016,30.166666666666664,34.816208791208794,33.773511904761904,37.270535714285714,39.41410256410256,44.02628205128205,44.511538461538464,43.65961538461538,43.608285714285714,38.65897435897436,34.23171428571429,27.999714285714283
2017,27.65366666666667,30.82714285714286,34.23142857142857,35.06041666666667,39.480059523809516,43.82291666666667,46.152083333333344,46.110416666666666,46.065384615384616,40.866,33.85275,30.03167701863354
2018,31.022916666666674,31.61636904761905,31.6625,35.098000000000006,38.43958333333333,42.94761904761904,45.74503105590062,44.39285714285714,42.46458333333333,40.65797101449275,34.885416666666664,30.015773809523814
2019,31.03333333333333,27.14288888888889,31.90700483091787,37.77428571428572,36.47119565217391,43.712,45.02825000000001,46.8375,44.595962732919254,39.55681818181819,34.25978260869565,30.109661835748796
2020,29.252173913043478,33.137499999999996,31.37536231884058,,,,,,,,,
